"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"102822-11543111","102822-Mo-Su","102822-213","Blockauss","","1","","102822-11543109","0","0"
"102822-11543163","102822-Mo-Su","102822-214","La vie","","0","","102822-11543162","0","0"
"102822-11543163","102822-Mo-Su","102822-215","Blockauss","","1","","102822-11543161","0","0"
"102822-11543219","102822-Mo-Su","102822-216","Pâtisserie","","0","","102822-11543218","0","0"
"102822-11543219","102822-Mo-Su","102822-217","Blockauss","","1","","102822-11543217","0","0"
"102822-11543567","102822-Mo-Su","102822-218","Akouédo","","0","","102822-11543566","0","0"
"102822-11543567","102822-Mo-Su","102822-219","Riviera 2 Station","","1","","102822-11543565","0","0"
"102822-10402749","102822-Mo-Su","102822-22","Bingerville","","0","","102822-10402748","0","0"
"102822-11544387","102822-Mo-Su","102822-220","Toit Rouge","","0","","102822-11544386","0","0"
"102822-11544387","102822-Mo-Su","102822-221","Siporex au feux","","1","","102822-11544385","0","0"
"102822-11544470","102822-Mo-Su","102822-222","Yopougon Koweit","","0","","102822-11544469","0","0"
"102822-11544470","102822-Mo-Su","102822-223","Siporex","","1","","102822-11544468","0","0"
"102822-11548462","102822-Mo-Su","102822-224","Andokoi - Carrefour Zone","","0","","102822-11548461","0","0"
"102822-11548462","102822-Mo-Su","102822-225","Siporex","","1","","102822-11548460","0","0"
"102822-11555785","102822-Mo-Su","102822-226","Sapeur Pompier","","0","","102822-11555783","0","0"
"102822-11555785","102822-Mo-Su","102822-227","Camp Militaire","","1","","102822-11555784","0","0"
"102822-11555928","102822-Mo-Su","102822-228","Terminus 40","","0","","102822-11555927","0","0"
"102822-11555928","102822-Mo-Su","102822-229","Sapeur Pompier","","1","","102822-11555926","0","0"
"102822-10402749","102822-Mo-Su","102822-23","Adjamé gare en haut","","1","","102822-10402747","0","0"
"102822-11569330","102822-Mo-Su","102822-230","Prison Civil","","0","","102822-11569329","0","0"
"102822-11569330","102822-Mo-Su","102822-231","Gabriel Gare","","1","","102822-11569328","0","0"
"102822-11569444","102822-Mo-Su","102822-232","Camp Militaire","","0","","102822-11569443","0","0"
"102822-11569444","102822-Mo-Su","102822-233","Siporex","","1","","102822-11569442","0","0"
"102822-11572895","102822-Mo-Su","102822-234","Mossikro","","0","","102822-11572894","0","0"
"102822-11572895","102822-Mo-Su","102822-235","Gabriel Gare","","1","","102822-11572893","0","0"
"102822-11573879","102822-Mo-Su","102822-236","Terminus derrière Rail","","0","","102822-11573878","0","0"
"102822-11573879","102822-Mo-Su","102822-237","Abobo Gare","","1","","102822-11600819","0","0"
"102822-11578622","102822-Mo-Su","102822-238","Koweit","","0","","","0","0"
"102822-11578622","102822-Mo-Su","102822-239","Complexe","","1","","102822-11578620","0","0"
"102822-10403055","102822-Mo-Su","102822-24","Cocody Riviera M'pouto","","0","","102822-10403054","0","0"
"102822-11580511","102822-Mo-Su","102822-240","Toit rouge Jean-Paul 2","","0","","102822-11580510","0","0"
"102822-11580511","102822-Mo-Su","102822-241","Bhci","","1","","102822-11580509","0","0"
"102822-11580548","102822-Mo-Su","102822-242","Lama Fofana","","0","","102822-11580546","0","0"
"102822-11580548","102822-Mo-Su","102822-243","Bhci","","1","","102822-11580547","0","0"
"102822-11581068","102822-Mo-Su","102822-244","Sapeur Pompier","","0","","102822-11581067","0","0"
"102822-11581068","102822-Mo-Su","102822-245","Bhci","","1","","102822-11581066","0","0"
"102822-11581116","102822-Mo-Su","102822-246","Toit rouge Jean-Paul 2","","0","","102822-11581115","0","0"
"102822-11581116","102822-Mo-Su","102822-247","Palais","","1","","102822-11581114","0","0"
"102822-11581529","102822-Mo-Su","102822-248","Saguidiba","","0","","102822-11581528","0","0"
"102822-11581529","102822-Mo-Su","102822-249","Camp Militaire","","1","","102822-11581527","0","0"
"102822-10403055","102822-Mo-Su","102822-25","Adjamé gare en haut","","1","","102822-10403053","0","0"
"102822-11581693","102822-Mo-Su","102822-250","Camp Militaire","","0","","102822-11581691","0","0"
"102822-11581693","102822-Mo-Su","102822-251","Abobo Doumé","","1","","102822-11581692","0","0"
"102822-11581772","102822-Mo-Su","102822-252","Zoo","","0","","102822-11581770","0","0"
"102822-11581772","102822-Mo-Su","102822-253","Pont Soro","","1","","102822-11581771","0","0"
"102822-11581798","102822-Mo-Su","102822-254","Mossikro","","0","","102822-11581797","0","0"
"102822-11581798","102822-Mo-Su","102822-255","Sable nouveau goudron","","1","","102822-11581796","0","0"
