"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"102822-NODE/10265580848","","Carrefour Prestige","","5.387682","-3.927249","","","0","","","0","",""
"102822-NODE/10265580849","","Rond Point du Chateau","","5.389257","-3.925668","","","0","","","0","",""
"102822-NODE/10265580850","","Carrefour Ecole","","5.389479","-3.926875","","","0","","","0","",""
"102822-NODE/10265580851","","Carrefour Clinique","","5.389583","-3.9275","","","0","","","0","",""
"102822-NODE/10265580852","","Carrefour Bassamois","","5.389723","-3.928373","","","0","","","0","",""
"102822-NODE/10265580853","","Carrefour Boulangerie","","5.389813","-3.929128","","","0","","","0","",""
"102822-NODE/10265580854","","Cité Sir","","5.389903","-3.929757","","","0","","","0","",""
"102822-NODE/10268582066","","Carrefour Prestige","","5.387447","-3.927111","","","0","","","0","",""
"102822-NODE/10268582067","","Carrefour Chateau","","5.387193","-3.925691","","","0","","","0","",""
"102822-NODE/10268582068","","Carrefour Sylla","","5.386991","-3.924441","","","0","","","0","",""
"102822-NODE/10268582070","","Cité Prestige","","5.386256","-3.920594","","","0","","","0","",""
"102822-NODE/10268582071","","Cité Prestige","","5.386242","-3.92068","","","0","","","0","",""
"102822-NODE/10268582072","","Carrefour terre ivoire","","5.386765","-3.922983","","","0","","","0","",""
"102822-NODE/10268582073","","Carrefour terre ivoire","","5.386703","-3.923204","","","0","","","0","",""
"102822-NODE/10268582074","","Carrefour Chateau","","5.387133","-3.925706","","","0","","","0","",""
"102822-NODE/10268582075","","Cité Bnetd","","5.378885","-3.930999","","","0","","","0","",""
"102822-NODE/10268582076","","Garage","","5.377372","-3.930427","","","0","","","0","",""
"102822-NODE/10268582077","","Nouveau goudron Abatta","","5.374123","-3.929002","","","0","","","0","",""
"102822-NODE/10273846184","","Arrêt Sotra","","5.399085","-3.951984","","","0","","","0","",""
"102822-NODE/10273846186","","Nouveau Chu","","5.399446","-3.953441","","","0","","","0","",""
"102822-NODE/10273846187","","Carrefour Rois des Rois","","5.396189","-3.93192","","","0","","","0","",""
"102822-NODE/10273846188","","Carrefour Docteur","","5.39656","-3.93457","","","0","","","0","",""
"102822-NODE/10273846189","","Immeuble Rouge","","5.396937","-3.9374","","","0","","","0","",""
"102822-NODE/10273846190","","Carrefour Djorobité","","5.397252","-3.93969","","","0","","","0","",""
