"trip_id","start_time","end_time","headway_secs","exact_times"
"102822-319","05:00:00","22:00:00","600","0"
"102822-32","05:00:00","22:00:00","3600","0"
"102822-320","05:00:00","22:00:00","300","0"
"102822-321","05:00:00","22:00:00","300","0"
"102822-322","05:00:00","22:00:00","300","0"
"102822-323","05:00:00","22:00:00","300","0"
"102822-324","05:00:00","22:00:00","600","0"
"102822-325","05:00:00","22:00:00","600","0"
"102822-326","05:00:00","22:00:00","1200","0"
"102822-327","05:00:00","22:00:00","1200","0"
"102822-328","05:00:00","22:00:00","600","0"
"102822-329","05:00:00","22:00:00","600","0"
"102822-33","05:00:00","22:00:00","3600","0"
"102822-330","05:00:00","22:00:00","600","0"
"102822-331","05:00:00","22:00:00","600","0"
"102822-332","05:00:00","22:00:00","300","0"
"102822-333","05:00:00","22:00:00","300","0"
"102822-334","05:00:00","22:00:00","600","0"
"102822-335","05:00:00","22:00:00","600","0"
"102822-336","05:00:00","22:00:00","300","0"
"102822-337","05:00:00","22:00:00","300","0"
"102822-338","05:00:00","22:00:00","600","0"
"102822-339","05:00:00","22:00:00","600","0"
"102822-34","05:00:00","22:00:00","1200","0"
"102822-340","05:00:00","22:00:00","300","0"
"102822-341","05:00:00","22:00:00","300","0"
"102822-342","05:00:00","22:00:00","600","0"
"102822-343","05:00:00","22:00:00","600","0"
"102822-344","05:00:00","22:00:00","600","0"
"102822-345","05:00:00","22:00:00","600","0"
"102822-346","05:00:00","22:00:00","300","0"
"102822-347","05:00:00","22:00:00","300","0"
"102822-348","05:00:00","22:00:00","600","0"
"102822-349","05:00:00","22:00:00","600","0"
"102822-35","05:00:00","22:00:00","1200","0"
"102822-350","05:00:00","22:00:00","600","0"
"102822-351","05:00:00","22:00:00","600","0"
"102822-352","05:00:00","22:00:00","1200","0"
"102822-353","05:00:00","22:00:00","1200","0"
"102822-354","05:00:00","22:00:00","1200","0"
"102822-355","05:00:00","22:00:00","1200","0"
"102822-356","05:00:00","22:00:00","600","0"
"102822-357","05:00:00","22:00:00","600","0"
"102822-358","05:00:00","22:00:00","1200","0"
"102822-359","05:00:00","22:00:00","1200","0"
"102822-36","05:00:00","22:00:00","1200","0"
"102822-360","05:00:00","22:00:00","1200","0"
"102822-361","05:00:00","22:00:00","1200","0"
"102822-362","05:00:00","22:00:00","1800","0"
"102822-363","05:00:00","22:00:00","1800","0"
"102822-364","05:00:00","07:00:00","780","0"
"102822-364","07:00:00","09:00:00","420","0"
"102822-364","09:00:00","17:00:00","1200","0"
"102822-364","17:00:00","20:00:00","180","0"
"102822-365","05:00:00","07:00:00","780","0"
"102822-365","07:00:00","09:00:00","420","0"
"102822-365","09:00:00","17:00:00","1200","0"
"102822-365","17:00:00","20:00:00","180","0"
"102822-366","05:00:00","07:00:00","1020","0"
"102822-366","07:00:00","09:00:00","660","0"
"102822-366","09:00:00","17:00:00","240","0"
"102822-366","17:00:00","20:00:00","420","0"
"102822-366","20:00:00","22:00:00","1800","0"
"102822-367","05:00:00","07:00:00","1020","0"
"102822-367","07:00:00","09:00:00","660","0"
"102822-367","09:00:00","17:00:00","240","0"
"102822-367","17:00:00","20:00:00","420","0"
"102822-367","20:00:00","22:00:00","1800","0"
"102822-368","05:00:00","22:00:00","900","0"
"102822-369","05:00:00","22:00:00","900","0"
"102822-37","05:00:00","22:00:00","1200","0"
"102822-370","05:00:00","22:00:00","600","0"
"102822-371","05:00:00","22:00:00","600","0"
"102822-372","05:00:00","22:00:00","900","0"
"102822-373","05:00:00","22:00:00","900","0"
"102822-374","05:00:00","07:00:00","1800","0"
"102822-374","07:00:00","09:00:00","660","0"
"102822-374","09:00:00","17:00:00","780","0"
"102822-374","17:00:00","20:00:00","5400","0"
"102822-375","05:00:00","07:00:00","1800","0"
"102822-375","07:00:00","09:00:00","660","0"
"102822-375","09:00:00","17:00:00","780","0"
"102822-375","17:00:00","20:00:00","5400","0"
"102822-376","05:00:00","22:00:00","900","0"
"102822-377","05:00:00","22:00:00","900","0"
"102822-378","05:00:00","22:00:00","600","0"
"102822-379","05:00:00","22:00:00","600","0"
"102822-38","09:00:00","20:00:00","120","0"
"102822-38","20:00:00","22:00:00","540","0"
"102822-380","05:00:00","22:00:00","1200","0"
"102822-381","05:00:00","22:00:00","1200","0"
"102822-382","05:00:00","22:00:00","300","0"
"102822-383","05:00:00","22:00:00","300","0"
"102822-384","05:00:00","22:00:00","1200","0"
"102822-385","05:00:00","22:00:00","1200","0"
"102822-386","05:00:00","22:00:00","1200","0"
"102822-387","05:00:00","22:00:00","1200","0"
"102822-388","05:00:00","22:00:00","300","0"
"102822-389","05:00:00","22:00:00","300","0"
"102822-39","09:00:00","20:00:00","120","0"
"102822-39","20:00:00","22:00:00","540","0"
"102822-390","09:00:00","17:00:00","360","0"
"102822-390","17:00:00","20:00:00","660","0"
"102822-391","09:00:00","17:00:00","360","0"
"102822-391","17:00:00","20:00:00","660","0"
"102822-392","05:00:00","22:00:00","1200","0"
"102822-393","05:00:00","22:00:00","1200","0"
"102822-394","05:00:00","22:00:00","600","0"
"102822-395","05:00:00","22:00:00","600","0"
"102822-396","05:00:00","22:00:00","900","0"
"102822-397","05:00:00","22:00:00","900","0"
"102822-398","05:00:00","22:00:00","1200","0"
"102822-399","05:00:00","22:00:00","1200","0"
"102822-4","05:00:00","07:00:00","900","0"
"102822-4","07:00:00","09:00:00","180","0"
"102822-4","09:00:00","17:00:00","360","0"
"102822-40","07:00:00","09:00:00","3600","0"
"102822-40","09:00:00","17:00:00","1800","0"
"102822-400","05:00:00","22:00:00","600","0"
"102822-401","05:00:00","22:00:00","600","0"
"102822-402","05:00:00","22:00:00","900","0"
"102822-403","05:00:00","22:00:00","900","0"
"102822-404","05:00:00","22:00:00","600","0"
"102822-405","05:00:00","22:00:00","600","0"
"102822-406","05:00:00","07:00:00","7200","0"
"102822-406","07:00:00","17:00:00","900","0"
"102822-406","17:00:00","20:00:00","2160","0"
"102822-407","05:00:00","07:00:00","7200","0"
"102822-407","07:00:00","17:00:00","900","0"
"102822-407","17:00:00","20:00:00","2160","0"
"102822-408","07:00:00","09:00:00","7200","0"
"102822-408","09:00:00","17:00:00","1800","0"
"102822-409","07:00:00","09:00:00","7200","0"
"102822-409","09:00:00","17:00:00","1800","0"
"102822-41","07:00:00","09:00:00","3600","0"
"102822-41","09:00:00","17:00:00","1800","0"
"102822-410","05:00:00","22:00:00","900","0"
"102822-411","05:00:00","22:00:00","900","0"
"102822-412","05:00:00","22:00:00","3600","0"
"102822-413","05:00:00","22:00:00","3600","0"
"102822-414","05:00:00","22:00:00","300","0"
"102822-415","05:00:00","22:00:00","300","0"
"102822-416","05:00:00","22:00:00","240","0"
"102822-417","05:00:00","22:00:00","240","0"
"102822-418","05:00:00","22:00:00","480","0"
"102822-419","05:00:00","22:00:00","480","0"
"102822-42","05:00:00","09:00:00","7200","0"
"102822-42","09:00:00","17:00:00","1800","0"
"102822-420","05:00:00","22:00:00","1200","0"
"102822-421","05:00:00","22:00:00","1200","0"
"102822-422","05:00:00","22:00:00","1800","0"
"102822-423","05:00:00","22:00:00","1800","0"
"102822-424","05:00:00","22:00:00","900","0"
"102822-425","05:00:00","22:00:00","900","0"
"102822-426","05:00:00","22:00:00","2700","0"
"102822-427","05:00:00","22:00:00","2700","0"
"102822-428","05:00:00","22:00:00","1200","0"
"102822-429","05:00:00","22:00:00","1200","0"
"102822-43","05:00:00","09:00:00","7200","0"
"102822-43","09:00:00","17:00:00","1800","0"
"102822-430","05:00:00","22:00:00","900","0"
"102822-431","05:00:00","22:00:00","900","0"
"102822-432","05:00:00","22:00:00","300","0"
"102822-433","05:00:00","22:00:00","300","0"
"102822-434","05:00:00","22:00:00","300","0"
"102822-435","05:00:00","22:00:00","300","0"
"102822-436","05:00:00","22:00:00","1200","0"
"102822-437","05:00:00","22:00:00","1200","0"
"102822-438","05:00:00","22:00:00","900","0"
"102822-439","05:00:00","22:00:00","900","0"
"102822-44","05:00:00","22:00:00","3600","0"
"102822-440","05:00:00","22:00:00","1800","0"
"102822-441","05:00:00","22:00:00","1800","0"
"102822-442","05:00:00","22:00:00","600","0"
"102822-443","05:00:00","22:00:00","600","0"
"102822-444","05:00:00","22:00:00","1800","0"
"102822-445","05:00:00","22:00:00","1800","0"
"102822-446","05:00:00","22:00:00","900","0"
"102822-447","05:00:00","22:00:00","900","0"
"102822-448","05:00:00","22:00:00","600","0"
"102822-449","05:00:00","22:00:00","600","0"
"102822-45","05:00:00","22:00:00","3600","0"
"102822-450","05:00:00","22:00:00","3600","0"
"102822-451","05:00:00","22:00:00","3600","0"
"102822-452","05:00:00","22:00:00","300","0"
